ik;ik;normal;ik;ik;0
je;je;normal;je;je;1
het;het;normal;het;het;2
de;de;normal;de;de;3
dat;dat;normal;dat;dat;4
deze;deze;form;dat;dat;4
die;die;form;dat;dat;4
diens;diens;form;dat;dat;4
dier;dier;form;dat;dat;4
is;is;normal;zijn;zijn;18
niet;niet;normal;niet;niet;6
een;een;normal;een;een;7
en;en;normal;en;en;8
wat;wat;normal;wat;wat;9
van;van;normal;ervan;ervan;444
ervan;ervan;form;ervan;ervan;444
hiervan;hiervan;form;ervan;ervan;444
daarvan;daarvan;form;ervan;ervan;444
waarvan;waarvan;form;ervan;ervan;444
we;we;normal;we;we;11
ze;ze;normal;ze;ze;12
hij;hij;normal;hij;hij;13
in;in;normal;erin;erin;595
erin;erin;form;erin;erin;595
hierin;hierin;form;erin;erin;595
daarin;daarin;form;erin;erin;595
waarin;waarin;form;erin;erin;595
maar;maar;normal;maren;maren;21290
er;er;normal;er;er;16
op;op;normal;erop;erop;566
erop;erop;form;erop;erop;566
hierop;hierop;form;erop;erop;566
daarop;daarop;form;erop;erop;566
waarop;waarop;form;erop;erop;566
zijn;zijn;normal;zijn;zijn;18
was;was;form;zijn;zijn;18
geweest;geweest;form;zijn;zijn;18
ben;ben;form;zijn;zijn;18
bent;bent;form;zijn;zijn;18
is;is;form;zijn;zijn;18
zijt;zijt;form;zijn;zijn;18
waart;waart;form;zijn;zijn;18
waren;waren;form;zijn;zijn;18
zij;zij;form;zijn;zijn;18
ware;ware;form;zijn;zijn;18
wees;wees;form;zijn;zijn;18
weest;weest;form;zijn;zijn;18
zijnd;zijnd;form;zijn;zijn;18
te;te;normal;te;te;19
me;me;normal;me;me;20
die;die;normal;dat;dat;4
diens;diens;form;dat;dat;4
dier;dier;form;dat;dat;4
dien;dien;form;dat;dat;4
heb;heb;normal;hebben;hebben;48
met;met;normal;mee;mee;98
mee;mee;form;mee;mee;98
ermee;ermee;form;mee;mee;98
hiermee;hiermee;form;mee;mee;98
daarmee;daarmee;form;mee;mee;98
waarmee;waarmee;form;mee;mee;98
ergens mee;ergens mee;form;mee;mee;98
nergens mee;nergens mee;form;mee;mee;98
overal mee;overal mee;form;mee;mee;98
voor;voor;normal;ervoor;ervoor;660
ervoor;ervoor;form;ervoor;ervoor;660
hiervoor;hiervoor;form;ervoor;ervoor;660
daarvoor;daarvoor;form;ervoor;ervoor;660
waarvoor;waarvoor;form;ervoor;ervoor;660
als;als;normal;als;als;25
u;u;normal;u;u;26
ben;ben;normal;zijn;zijn;18
was;was;normal;zijn;zijn;18
dit;dit;normal;dit;dit;29
deze;deze;form;dit;dit;29
die;die;form;dit;dit;29
diens;diens;form;dit;dit;29
dier;dier;form;dit;dit;29
hier;hier;normal;hier;hier;30
jij;jij;normal;jij;jij;31
naar;naar;normal;ernaar;ernaar;2327
ernaar;ernaar;form;ernaar;ernaar;2327
hiernaar;hiernaar;form;ernaar;ernaar;2327
daarnaar;daarnaar;form;ernaar;ernaar;2327
waarnaar;waarnaar;form;ernaar;ernaar;2327
om;om;normal;waarom;waarom;76
erom;erom;form;waarom;waarom;76
hierom;hierom;form;waarom;waarom;76
daarom;daarom;form;waarom;waarom;76
waarom;waarom;form;waarom;waarom;76
mijn;mijn;normal;mijnen;mijnen;5249
weet;weet;normal;weten;weten;137
dan;dan;normal;dan;dan;36
wel;wel;normal;wel;wel;37
kan;kan;normal;kunnen;kunnen;87
nog;nog;normal;nog;nog;39
wil;wil;normal;willen;willen;164
geen;geen;normal;geen;geen;41
moet;moet;normal;moeten;moeten;84
zo;zo;normal;zo;zo;43
aan;aan;normal;eraan;eraan;509
eraan;eraan;form;eraan;eraan;509
hieraan;hieraan;form;eraan;eraan;509
daaraan;daaraan;form;eraan;eraan;509
waaraan;waaraan;form;eraan;eraan;509
hem;hem;normal;hem;hem;45
heeft;heeft;normal;hebben;hebben;48
goed;goed;normal;goeden;goeden;13385
hebben;hebben;normal;hebben;hebben;48
had;had;form;hebben;hebben;48
gehad;gehad;form;hebben;hebben;48
heb;heb;form;hebben;hebben;48
hebt;hebt;form;hebben;hebben;48
heeft;heeft;form;hebben;hebben;48
hadt;hadt;form;hebben;hebben;48
hadden;hadden;form;hebben;hebben;48
hebbe;hebbe;form;hebben;hebben;48
hadde;hadde;form;hebben;hebben;48
hebbend;hebbend;form;hebben;hebben;48
ja;ja;normal;ja;ja;49
hoe;hoe;normal;hoe;hoe;50
waar;waar;normal;waren;waren;188
nu;nu;normal;nu;nu;52
nee;nee;normal;nee;nee;53
haar;haar;normal;haar;haar;54
ga;ga;normal;gaan;gaan;62
bent;bent;normal;zijn;zijn;18
uit;uit;normal;eruit;eruit;355
buiten;buiten;form;eruit;eruit;355
erbuiten;erbuiten;form;eruit;eruit;355
hierbuiten;hierbuiten;form;eruit;eruit;355
daarbuiten;daarbuiten;form;eruit;eruit;355
waarbuiten;waarbuiten;form;eruit;eruit;355
ergens buiten;ergens buiten;form;eruit;eruit;355
nergens buiten;nergens buiten;form;eruit;eruit;355
overal buiten;overal buiten;form;eruit;eruit;355
