het;het;het
de;de;de
dat;dat;dat
deze;deze;dat
die;die;dat
diens;diens;dat
dier;dier;dat
is;is;zijn
niet;niet;niet
een;een;een
en;en;en
wat;wat;wat
van;van;ervan
ervan;ervan;ervan
hiervan;hiervan;ervan
daarvan;daarvan;ervan
waarvan;waarvan;ervan
we;we;we
ze;ze;ze
hij;hij;hij
in;in;erin
erin;erin;erin
hierin;hierin;erin
daarin;daarin;erin
waarin;waarin;erin
maar;maar;maren
er;er;er
op;op;erop
erop;erop;erop
hierop;hierop;erop
daarop;daarop;erop
waarop;waarop;erop
zijn;zijn;zijn
was;was;zijn
geweest;geweest;zijn
ben;ben;zijn
bent;bent;zijn
is;is;zijn
zijt;zijt;zijn
waart;waart;zijn
waren;waren;zijn
zij;zij;zijn
ware;ware;zijn
wees;wees;zijn
weest;weest;zijn
zijnd;zijnd;zijn
te;te;te
me;me;me
die;die;dat
diens;diens;dat
dier;dier;dat
dien;dien;dat
heb;heb;hebben
met;met;mee
mee;mee;mee
ermee;ermee;mee
hiermee;hiermee;mee
daarmee;daarmee;mee
waarmee;waarmee;mee
ergens mee;ergens mee;mee
nergens mee;nergens mee;mee
overal mee;overal mee;mee
voor;voor;ervoor
ervoor;ervoor;ervoor
hiervoor;hiervoor;ervoor
daarvoor;daarvoor;ervoor
waarvoor;waarvoor;ervoor
als;als;als
u;u;u
ben;ben;zijn
was;was;zijn
dit;dit;dit
deze;deze;dit
die;die;dit
diens;diens;dit
dier;dier;dit
hier;hier;hier
jij;jij;jij
naar;naar;ernaar
ernaar;ernaar;ernaar
hiernaar;hiernaar;ernaar
daarnaar;daarnaar;ernaar
waarnaar;waarnaar;ernaar
om;om;waarom
erom;erom;waarom
hierom;hierom;waarom
daarom;daarom;waarom
waarom;waarom;waarom
mijn;mijn;mijnen
weet;weet;weten
dan;dan;dan
wel;wel;wel
kan;kan;kunnen
nog;nog;nog
wil;wil;willen
geen;geen;geen
moet;moet;moeten
zo;zo;zo
aan;aan;eraan
eraan;eraan;eraan
hieraan;hieraan;eraan
daaraan;daaraan;eraan
waaraan;waaraan;eraan
hem;hem;hem
heeft;heeft;hebben
goed;goed;goeden
hebben;hebben;hebben
had;had;hebben
gehad;gehad;hebben
heb;heb;hebben
hebt;hebt;hebben
heeft;heeft;hebben
hadt;hadt;hebben
hadden;hadden;hebben
hebbe;hebbe;hebben
hadde;hadde;hebben
hebbend;hebbend;hebben
ja;ja;ja
hoe;hoe;hoe
waar;waar;waren
nu;nu;nu
nee;nee;nee
haar;haar;haar
ga;ga;gaan
bent;bent;zijn
uit;uit;eruit
buiten;buiten;eruit
erbuiten;erbuiten;eruit
hierbuiten;hierbuiten;eruit
daarbuiten;daarbuiten;eruit
waarbuiten;waarbuiten;eruit
ergens buiten;ergens buiten;eruit
nergens buiten;nergens buiten;eruit
overal buiten;overal buiten;eruit
ook;ook;ook
over;over;erover
erover;erover;erover
hierover;hierover;erover
daarover;daarover;erover
waarover;waarover;erover
doen;doen;doen
deed;deed;doen
gedaan;gedaan;doen
doe;doe;doen
doet;doet;doen
deedt;deedt;doen
deden;deden;doen
dede;dede;doen
doend;doend;doen
gaan;gaan;gaan
ging;ging;gaan
gegaan;gegaan;gaan
ga;ga;gaan
gaat;gaat;gaan
gingt;gingt;gaan
gingen;gingen;gaan
ginge;ginge;gaan
gaand;gaand;gaan
kom;kom;komen
mij;mij;mij
daar;daar;daar
zou;zou;zullen
bij;bij;erbij
erbij;erbij;erbij
hierbij;hierbij;erbij
daarbij;daarbij;erbij
waarbij;waarbij;erbij
al;al;al
of;of;of
jullie;jullie;jullie
ons;ons;ons
gaat;gaat;gaan
iets;iets;iets
hebt;hebt;hebben
zal;zal;zullen
waarom;waarom;om
om;om;om
erom;erom;om
hierom;hierom;om
daarom;daarom;om
ergens om;ergens om;om
nergens om;nergens om;om
overal om;overal om;om
had;had;hebben
meer;meer;meren
laat;laat;laten
doe;doe;doen
wie;wie;wie
moeten;moeten;moeten
moest;moest;moeten
gemoeten;gemoeten;moeten
moet;moet;moeten
moesten;moesten;moeten
moete;moete;moeten
moeste;moeste;moeten
moetend;moetend;moeten
deze;deze;dat
alles;alles;alles
kunnen;kunnen;kunnen
kon;kon;kunnen
gekund;gekund;kunnen
kan;kan;kunnen
kunt;kunt;kunnen
kondt;kondt;kunnen
konden;konden;kunnen
kunne;kunne;kunnen
konde;konde;kunnen
kunnend;kunnend;kunnen
jou;jou;jou
toch;toch;toch
echt;echt;echt
denk;denk;denken
zien;zien;zien
zag;zag;zien
gezien;gezien;zien
zie;zie;zien
ziet;ziet;zien
zaagt;zaagt;zien
zagen;zagen;zien
zage;zage;zien
ziend;ziend;zien
weg;weg;weg
nou;nou;nou
alleen;alleen;alleen
nooit;nooit;nooit
door;door;waardoor
erdoor;erdoor;waardoor
hierdoor;hierdoor;waardoor
daardoor;daardoor;waardoor
waardoor;waardoor;waardoor
mee;mee;met
met;met;met
ermee;ermee;met
hiermee;hiermee;met
daarmee;daarmee;met
waarmee;waarmee;met
dus;dus;dus
man;man;man
even;even;even
eens;eens;eens
